 cookie=0x0, duration=8.516s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=169.9.243.6,nw_dst=10.0.0.1,tp_src=28306,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.516s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=208.75.249.48,nw_dst=10.0.0.1,tp_src=28307,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.495s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=245.172.151.123,nw_dst=10.0.0.1,tp_src=28308,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.495s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=89.115.47.164,nw_dst=10.0.0.1,tp_src=28310,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.495s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=151.81.10.250,nw_dst=10.0.0.1,tp_src=28311,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.495s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=147.90.92.11,nw_dst=10.0.0.1,tp_src=28312,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.495s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=191.180.102.91,nw_dst=10.0.0.1,tp_src=28313,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.494s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=249.161.50.169,nw_dst=10.0.0.1,tp_src=28314,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.494s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=214.48.50.148,nw_dst=10.0.0.1,tp_src=28315,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.494s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=2.78.65.215,nw_dst=10.0.0.1,tp_src=28316,tp_dst=0 actions=output:1
